COM COD,COURSE NO.,COURSE TITLE,CREDIT L P U,SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
,,,,6,Nilesh Goel,332,Th89,,
1239,EEE F242,CONTROL SYSTEMS,3 0 3,1,VILAS H GAIDHANE,228,T78 Th12,03.04.2025 AN,29.05.2025 AN
1240,EEE F243,SIGNALS & SYSTEMS,3 0 3,1,SHAZIA HASAN,228,M12 F45,07.04.2025 AN,28.05.2025 AN
1241,EEE F244,MICROELECTRONIC CIRCUITS,3 0 3,1,NILESH GOEL,228,M34 W89,08.04.2025 AN,02.06.2025 AN
1657,EEE F266,STUDY PROJECT,3,1,ABDUL RAZAK,,,,
1245,EEE F341,ANALOG ELECTRONICS,3 1 4,1,VILAS H GAIDHANE,271,M12 W34,02.04.2025 AN,26.05.2025 AN
,,Practical,,1,V Kalaichelvi,304,F345,,
1246,EEE F342,POWER ELECTRONICS,3 1 4,1,SUNIL THOMAS,270,T56 F12,07.04.2025 AN,28.05.2025 AN
,,Practical,,1,Sunil Thomas,302,M789,,
1731,EEE F366,LABORATORY PROJECT,3,1,ABDUL RAZAK,,,,
1742,EEE F367,LABORATORY PROJECT,3,1,ABDUL RAZAK,,,,
1691,EEE F376,DESIGN PROJECT,3,1,ABDUL RAZAK,,,,
1758,EEE F377,DESIGN PROJECT,3,1,ABDUL RAZAK,,,,
2288,EEE F411,INTERNET OF THINGS,3 1 4,1,ASHUTOSH MISHRA,270,W5 Th89,07.04.2025 FN,30.05.2025 FN
,,Practical,,1,Ashutosh Mishra,332,W12,,
1886,EEE F417,COMPUTER BASED CONTROL SYSTEM,3 0 3,1,GOMATHI BHAVANI,271,T34 Th6,04.04.2025 FN,04.06.2025 FN
1247,EEE F432,MEDICAL INSTRUMENTATION,3 0 3,1,R SWARNALATHA,270,T34 Th6,04.04.2025 FN,04.06.2025 FN
1249,EEE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,271,M34 Th5,09.04.2025 FN,27.05.2025 AN
1716,EEE F491,SPECIAL PROJECT,3,1,ABDUL RAZAK,,,,
1130,GS F211,MODERN POLITICAL CONCEPTS,3 0 3,1,SHAMSHAD KHAN,210,W5 Th89,07.04.2025 FN,30.05.2025 FN
1131,GS F212,ENVIRON DEV & CLIMATE CH,3 0 3,1,GEETHA KANNAN,268,M89 Th5,09.04.2025 AN,03.06.2025 AN
1176,GS F332,CONTEMPORARY INDIA,3 0 3,1,MRUTUYANJAYA SAHU,210,M5 W89,02.04.2025 FN,29.05.2025 FN
2524,HSS F252,INTERNATIONAL LAW,3 0 3,1,SHAMSHAD KHAN,222,M5 W89,02.04.2025 FN,29.05.2025 FN
1603,HSS F222,LINGUISTICS,3 0 3,1,SAYANTAN CHAKRABORTY,220,M89 Th5,09.04.2025 AN,03.06.2025 AN
1775,HSS F232,INTRODUCTION TO DEVELOPMENT STUDIES,3 0 3,1,MRUTUYANJAYA SAHU,257,M89 Th5,09.04.2025 AN,03.06.2025 AN
1776,HSS F266,STUDY PROJECT,3,1,MRUTUYANJAYA SAHU,,,,
1626,HSS F346,INTERNATIONAL RELATIONS,3 0 3,1,SHAMSHAD KHAN,269,M89 Th5,09.04.2025 AN,03.06.2025 AN
1828,HSS F349,ECOCRITICISM,3 0 3,1,SAYANTAN CHAKRABORTY,226,M5 W89,02.04.2025 FN,29.05.2025 FN
1835,HSS F350,"HUMAN RIGHTS: HISTORY, THEORY AND PRACTICE",3 0 3,1,MRUTUYANJAYA SAHU,226,W5 Th89,07.04.2025 FN,30.05.2025 FN
2272,HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,3 0 3,1,SHAZI S J,267,M89 Th5,-,03.06.2025 AN
1529,IS F341,SOFTWARE ENGINEERING,3 1 4,1,B VIJAYAKUMAR,221,W5 Th89,07.04.2025 FN,30.05.2025 FN
,,Practical,,1,B Vijayakumar,108,W12,,
1011,MATH F112,MATHEMATICS II,3 0 3,,SUHEL AHMAD KHAN,,,04.04.2025 FN,30.05.2025 FN
,,,,1,Asiya Latheef,101,T78 F12,,
,,,,2,S Baskaran,105,T7 W34 Th5,,
,,,,3,Prashanth K Barik,123,M78 W12,,
